shipment_id,order_id,shipment_date,carrier,tracking_number,delivery_date,shipment_status
37,37,1/2/2024,UPS,TRK486006,1/6/2024,Shipped
38,38,5/3/2024,DHL,TRK591965,5/8/2024,Delivered
39,39,6/28/2024,FedEx,TRK126053,7/3/2024,Delivered
40,40,8/23/2024,UPS,TRK186660,8/27/2024,Pending
41,41,2/25/2024,DHL,TRK228097,2/29/2024,Delivered
42,42,9/18/2024,FedEx,TRK675562,9/26/2024,Delivered
43,43,10/13/2024,UPS,TRK922507,10/16/2024,Delivered
44,44,7/8/2024,DHL,TRK534190,7/11/2024,Shipped
45,45,3/2/2024,FedEx,TRK119030,3/4/2024,Shipped
46,46,8/21/2024,UPS,TRK392828,8/25/2024,Shipped
47,47,12/30/2023,DHL,TRK235278,12/31/2023,Pending
48,48,11/22/2023,FedEx,TRK170290,11/28/2023,Shipped
49,49,3/28/2024,UPS,TRK772122,4/1/2024,Delivered
50,50,7/22/2024,DHL,TRK159547,7/24/2024,Delivered
51,51,5/18/2024,FedEx,TRK253961,5/20/2024,Pending
52,52,6/2/2024,UPS,TRK802059,6/10/2024,Pending
53,53,8/4/2024,DHL,TRK721030,8/8/2024,Delivered
54,54,1/30/2024,FedEx,TRK310750,2/6/2024,Pending
55,55,8/20/2024,UPS,TRK423161,8/22/2024,Shipped
56,56,3/4/2024,DHL,TRK380369,3/11/2024,Shipped
57,57,5/28/2024,FedEx,TRK329835,5/31/2024,Shipped
58,58,6/28/2024,UPS,TRK418211,6/29/2024,Pending
59,59,8/5/2024,DHL,TRK865810,8/11/2024,Shipped
60,60,1/2/2024,FedEx,TRK873334,1/7/2024,Pending
61,61,8/11/2024,UPS,TRK837901,8/15/2024,Delivered
62,62,8/8/2024,DHL,TRK976835,8/15/2024,Pending
63,63,5/3/2024,FedEx,TRK912221,5/8/2024,Delivered
64,64,4/12/2024,UPS,TRK401740,4/18/2024,Shipped
65,65,8/5/2024,DHL,TRK478481,8/10/2024,Delivered
66,66,4/24/2024,FedEx,TRK398754,4/28/2024,Shipped
67,67,7/11/2024,UPS,TRK696076,7/16/2024,Pending
68,68,9/18/2024,DHL,TRK155411,9/20/2024,Cancelled
69,69,1/26/2024,FedEx,TRK637648,1/31/2024,Delivered
70,70,9/25/2024,UPS,TRK260510,10/2/2024,Delivered
71,71,8/22/2024,DHL,TRK099538,8/25/2024,Pending
72,72,1/7/2024,FedEx,TRK998893,1/10/2024,Cancelled
73,73,9/2/2024,UPS,TRK967359,9/7/2024,Pending
74,74,6/26/2024,DHL,TRK785450,7/1/2024,Delivered
75,75,3/19/2024,FedEx,TRK090974,3/26/2024,Shipped
76,76,3/22/2024,UPS,TRK860615,3/26/2024,Delivered
77,77,4/13/2024,DHL,TRK203526,4/15/2024,Pending
78,78,1/27/2024,FedEx,TRK842985,2/1/2024,Shipped
79,79,2/9/2024,UPS,TRK187667,2/14/2024,Pending
80,80,1/6/2024,DHL,TRK167879,1/12/2024,Pending
81,81,2/1/2024,FedEx,TRK396306,2/8/2024,Shipped
82,82,2/20/2024,UPS,TRK767139,2/24/2024,Shipped
83,83,2/21/2024,DHL,TRK751317,2/25/2024,Delivered
84,84,10/14/2024,FedEx,TRK880506,10/19/2024,Shipped
85,85,8/11/2024,UPS,TRK545163,8/17/2024,Cancelled
86,86,7/23/2024,DHL,TRK685600,7/26/2024,Pending
87,87,2/23/2024,FedEx,TRK416424,2/27/2024,Shipped
88,88,8/2/2024,UPS,TRK329722,8/5/2024,Pending
89,89,2/17/2024,DHL,TRK229007,2/21/2024,Shipped
90,90,7/26/2024,FedEx,TRK027765,8/3/2024,Delivered
91,91,1/24/2024,UPS,TRK146036,1/30/2024,Pending
92,92,12/21/2023,DHL,TRK177076,12/24/2023,Delivered
93,93,9/5/2024,FedEx,TRK901536,9/11/2024,Delivered
94,94,5/7/2024,UPS,TRK858729,5/10/2024,Delivered
95,95,8/23/2024,DHL,TRK309324,8/26/2024,Delivered
96,96,7/13/2024,FedEx,TRK727094,7/19/2024,Pending
97,97,6/10/2024,UPS,TRK516527,6/18/2024,Delivered
98,98,9/19/2024,DHL,TRK299125,9/25/2024,Delivered
99,99,7/14/2024,FedEx,TRK803806,7/18/2024,Pending
100,100,1/13/2024,UPS,TRK972906,1/16/2024,Pending
101,101,11/5/2024,DHL,TRK790609,11/6/2024,Delivered
102,102,4/29/2024,FedEx,TRK353034,5/6/2024,Shipped
103,103,8/17/2024,UPS,TRK754763,8/21/2024,Delivered
104,104,1/31/2024,DHL,TRK519260,2/4/2024,Shipped
105,105,3/24/2024,FedEx,TRK500835,3/30/2024,Pending
106,106,12/16/2023,UPS,TRK482352,12/18/2023,Pending
107,107,9/9/2024,DHL,TRK236734,9/11/2024,Delivered
108,108,4/23/2024,FedEx,TRK614517,4/29/2024,Shipped
109,109,10/6/2024,UPS,TRK836983,10/8/2024,Shipped
110,110,3/28/2024,DHL,TRK307787,4/2/2024,Cancelled
111,111,9/1/2024,FedEx,TRK422896,9/7/2024,Delivered
112,112,6/29/2024,UPS,TRK625442,7/2/2024,Shipped
113,113,11/11/2023,DHL,TRK913858,11/18/2023,Shipped
114,114,1/26/2024,FedEx,TRK417904,1/30/2024,Pending
115,115,10/28/2024,UPS,TRK047564,10/31/2024,Delivered
116,116,1/17/2024,DHL,TRK421959,1/18/2024,Shipped
117,117,6/1/2024,FedEx,TRK479789,6/8/2024,Cancelled
118,118,9/2/2024,UPS,TRK974354,9/7/2024,Delivered
119,119,6/23/2024,DHL,TRK699602,6/24/2024,Shipped
120,120,4/9/2024,FedEx,TRK761638,4/12/2024,Shipped
121,121,11/12/2023,UPS,TRK288041,11/15/2023,Delivered
122,122,8/25/2024,DHL,TRK660386,9/1/2024,Shipped
123,123,2/20/2024,FedEx,TRK284905,2/22/2024,Pending
124,124,9/22/2024,UPS,TRK876902,9/23/2024,Delivered
125,125,3/13/2024,DHL,TRK116437,3/16/2024,Shipped
126,126,9/11/2024,FedEx,TRK757174,9/14/2024,Shipped
127,127,9/4/2024,UPS,TRK943174,9/10/2024,Cancelled
128,128,6/16/2024,DHL,TRK233559,6/22/2024,Shipped
129,129,5/4/2024,FedEx,TRK477484,5/6/2024,Delivered
130,130,4/18/2024,UPS,TRK077977,4/25/2024,Delivered
131,131,5/17/2024,DHL,TRK850976,5/22/2024,Shipped
132,132,9/29/2024,FedEx,TRK785266,10/6/2024,Pending
133,133,10/13/2024,UPS,TRK802058,10/14/2024,Delivered
134,134,1/20/2024,DHL,TRK815000,1/27/2024,Shipped
135,135,9/25/2024,FedEx,TRK520023,9/26/2024,Cancelled
136,136,10/21/2024,UPS,TRK920637,10/25/2024,Pending
137,137,10/17/2024,DHL,TRK604502,10/21/2024,Shipped
138,138,1/2/2024,FedEx,TRK853084,1/3/2024,Shipped
139,139,11/28/2023,UPS,TRK517085,12/2/2023,Shipped
140,140,5/22/2024,DHL,TRK021790,5/30/2024,Pending
141,141,10/9/2024,FedEx,TRK469479,10/14/2024,Pending
142,142,9/18/2024,UPS,TRK244578,9/22/2024,Delivered
143,143,12/13/2023,DHL,TRK526994,12/17/2023,Shipped
144,144,8/28/2024,FedEx,TRK449442,9/2/2024,Pending
145,145,4/19/2024,UPS,TRK263485,4/22/2024,Shipped
146,146,3/14/2024,DHL,TRK400459,3/20/2024,Shipped
147,147,12/11/2023,FedEx,TRK451050,12/15/2023,Delivered
148,148,8/7/2024,UPS,TRK065105,8/14/2024,Delivered
149,149,7/9/2024,DHL,TRK290506,7/12/2024,Delivered
150,150,9/12/2024,FedEx,TRK146253,9/18/2024,Shipped
151,151,10/7/2024,UPS,TRK980624,10/15/2024,Shipped
152,152,8/28/2024,DHL,TRK613129,9/3/2024,Pending
153,153,4/20/2024,FedEx,TRK062053,4/27/2024,Shipped
154,154,7/11/2024,UPS,TRK470561,7/15/2024,Delivered
155,155,1/1/2024,DHL,TRK346265,1/8/2024,Delivered
156,156,4/8/2024,FedEx,TRK584422,4/10/2024,Delivered
157,157,7/30/2024,UPS,TRK967864,8/6/2024,Pending
158,158,6/21/2024,DHL,TRK816873,6/29/2024,Shipped
159,159,1/13/2024,FedEx,TRK548336,1/20/2024,Shipped
160,160,7/12/2024,UPS,TRK551540,7/19/2024,Shipped
161,161,12/14/2023,DHL,TRK195520,12/19/2023,Shipped
162,162,7/27/2024,FedEx,TRK200784,7/28/2024,Delivered
163,163,8/19/2024,UPS,TRK989466,8/23/2024,Pending
164,164,3/25/2024,DHL,TRK581776,3/27/2024,Shipped
165,165,12/18/2023,FedEx,TRK408465,12/21/2023,Shipped
166,166,1/12/2024,UPS,TRK151953,1/20/2024,Delivered
167,167,1/17/2024,DHL,TRK776340,1/24/2024,Delivered
168,168,6/21/2024,FedEx,TRK461789,6/27/2024,Shipped
169,169,7/5/2024,UPS,TRK637398,7/11/2024,Delivered
170,170,12/17/2023,DHL,TRK519780,12/23/2023,Shipped
171,171,9/26/2024,FedEx,TRK925215,9/30/2024,Pending
172,172,7/1/2024,UPS,TRK657620,7/4/2024,Cancelled
173,173,12/27/2023,DHL,TRK920980,12/29/2023,Delivered
174,174,5/10/2024,FedEx,TRK468701,5/13/2024,Pending
175,175,8/11/2024,UPS,TRK071714,8/18/2024,Shipped
176,176,2/23/2024,DHL,TRK309321,2/29/2024,Pending
177,177,3/22/2024,FedEx,TRK341124,3/29/2024,Shipped
178,178,12/24/2023,UPS,TRK252081,12/30/2023,Delivered
179,179,6/12/2024,DHL,TRK031087,6/16/2024,Delivered
180,180,1/21/2024,FedEx,TRK927295,1/27/2024,Shipped
181,181,3/22/2024,UPS,TRK833516,3/25/2024,Delivered
182,182,8/10/2024,DHL,TRK998814,8/12/2024,Delivered
183,183,6/14/2024,FedEx,TRK907389,6/16/2024,Delivered
184,184,8/4/2024,UPS,TRK307131,8/7/2024,Delivered
185,185,7/21/2024,DHL,TRK700340,7/27/2024,Pending
186,186,8/19/2024,FedEx,TRK757292,8/21/2024,Shipped
187,187,6/4/2024,UPS,TRK567514,6/5/2024,Shipped
188,188,1/17/2024,DHL,TRK427186,1/20/2024,Delivered
189,189,7/6/2024,FedEx,TRK790103,7/7/2024,Shipped
190,190,2/27/2024,UPS,TRK138842,3/3/2024,Pending
191,191,1/21/2024,DHL,TRK968004,1/24/2024,Delivered
192,192,4/16/2024,FedEx,TRK651030,4/21/2024,Delivered
193,193,11/4/2024,UPS,TRK484558,11/8/2024,Pending
194,194,9/20/2024,DHL,TRK714160,9/23/2024,Delivered
195,195,3/19/2024,FedEx,TRK802407,3/21/2024,Shipped
196,196,2/22/2024,UPS,TRK634481,2/25/2024,Shipped
197,197,9/9/2024,DHL,TRK771027,9/11/2024,Shipped
198,198,6/29/2024,FedEx,TRK762752,7/4/2024,Delivered
199,199,6/25/2024,UPS,TRK622781,6/30/2024,Delivered
200,200,1/31/2024,DHL,TRK479911,2/5/2024,Shipped
201,201,3/31/2024,FedEx,TRK120287,4/7/2024,Delivered
202,202,10/21/2024,UPS,TRK497929,10/25/2024,Shipped
203,203,11/24/2023,DHL,TRK599542,11/28/2023,Shipped
204,204,3/23/2024,FedEx,TRK658725,3/28/2024,Pending
205,205,5/12/2024,UPS,TRK757003,5/17/2024,Pending
206,206,5/7/2024,DHL,TRK159339,5/9/2024,Shipped
207,207,8/22/2024,FedEx,TRK116808,8/26/2024,Shipped
208,208,12/29/2023,UPS,TRK741357,1/2/2024,Shipped
209,209,4/3/2024,DHL,TRK149755,4/6/2024,Shipped
210,210,8/31/2024,FedEx,TRK722927,9/1/2024,Delivered
211,211,3/20/2024,UPS,TRK613072,3/22/2024,Shipped
212,212,8/14/2024,DHL,TRK635995,8/19/2024,Shipped
213,213,12/11/2023,FedEx,TRK618381,12/18/2023,Delivered
214,214,9/25/2024,UPS,TRK794179,10/2/2024,Pending
215,215,8/7/2024,DHL,TRK170352,8/10/2024,Shipped
216,216,10/30/2024,FedEx,TRK546533,11/2/2024,Shipped
217,217,5/7/2024,UPS,TRK660729,5/9/2024,Pending
218,218,1/19/2024,DHL,TRK960131,1/22/2024,Delivered
219,219,12/4/2023,FedEx,TRK123392,12/11/2023,Pending
220,220,1/25/2024,UPS,TRK551408,2/1/2024,Shipped
221,221,4/30/2024,DHL,TRK952712,5/4/2024,Cancelled
222,222,11/23/2023,FedEx,TRK561679,11/28/2023,Delivered
223,223,3/26/2024,UPS,TRK000178,3/31/2024,Shipped
224,224,3/25/2024,DHL,TRK466990,3/30/2024,Pending
225,225,1/4/2024,FedEx,TRK450201,1/9/2024,Delivered
226,226,6/9/2024,UPS,TRK838899,6/17/2024,Delivered
227,227,6/9/2024,DHL,TRK911143,6/16/2024,Shipped
228,228,10/17/2024,FedEx,TRK573881,10/19/2024,Pending
229,229,11/22/2023,UPS,TRK887216,11/24/2023,Delivered
230,230,2/11/2024,DHL,TRK259732,2/16/2024,Cancelled
231,231,10/23/2024,FedEx,TRK311317,10/30/2024,Delivered
232,232,8/24/2024,UPS,TRK800569,8/29/2024,Shipped
233,233,11/17/2023,DHL,TRK532812,11/23/2023,Delivered
234,234,9/29/2024,FedEx,TRK947776,10/6/2024,Pending
235,235,4/29/2024,UPS,TRK979475,5/2/2024,Shipped
236,236,3/15/2024,DHL,TRK978801,3/21/2024,Delivered
237,237,11/20/2023,FedEx,TRK099270,11/22/2023,Shipped
238,238,4/12/2024,UPS,TRK269510,4/13/2024,Delivered
239,239,8/12/2024,DHL,TRK979808,8/16/2024,Pending
240,240,9/18/2024,FedEx,TRK948923,9/25/2024,Delivered
241,241,2/26/2024,UPS,TRK602225,2/28/2024,Delivered
242,242,9/27/2024,DHL,TRK711051,10/2/2024,Shipped
243,243,8/30/2024,FedEx,TRK420473,9/6/2024,Shipped
244,244,11/13/2023,UPS,TRK885770,11/19/2023,Pending
245,245,8/27/2024,DHL,TRK823176,9/2/2024,Shipped
246,246,7/26/2024,FedEx,TRK734359,8/2/2024,Delivered
247,247,5/20/2024,UPS,TRK337976,5/24/2024,Pending
248,248,10/18/2024,DHL,TRK311659,10/25/2024,Pending
249,249,6/24/2024,FedEx,TRK313610,6/25/2024,Shipped
250,250,8/11/2024,UPS,TRK485711,8/12/2024,Delivered
251,251,12/16/2023,DHL,TRK878683,12/20/2023,Delivered
252,252,3/27/2024,FedEx,TRK019877,4/3/2024,Delivered
253,253,6/5/2024,UPS,TRK935298,6/10/2024,Shipped
254,254,10/11/2024,DHL,TRK498928,10/15/2024,Pending
255,255,9/21/2024,FedEx,TRK109810,9/22/2024,Delivered
256,256,10/10/2024,UPS,TRK249994,10/12/2024,Delivered
257,257,5/26/2024,DHL,TRK893758,5/31/2024,Delivered
258,258,1/19/2024,FedEx,TRK702239,1/23/2024,Delivered
259,259,6/17/2024,UPS,TRK959126,6/19/2024,Delivered
260,260,7/19/2024,DHL,TRK360921,7/20/2024,Pending
261,261,10/9/2024,FedEx,TRK999426,10/15/2024,Delivered
262,262,11/14/2023,UPS,TRK269867,11/22/2023,Shipped
263,263,7/24/2024,DHL,TRK975978,7/26/2024,Delivered
264,264,1/21/2024,FedEx,TRK423347,1/24/2024,Cancelled
265,265,6/25/2024,UPS,TRK849862,6/30/2024,Shipped
266,266,10/27/2024,DHL,TRK952116,10/28/2024,Shipped
267,267,4/23/2024,FedEx,TRK750829,4/26/2024,Shipped
268,268,9/21/2024,UPS,TRK777366,9/27/2024,Shipped
269,269,5/18/2024,DHL,TRK661250,5/19/2024,Pending
270,270,12/17/2023,FedEx,TRK342671,12/19/2023,Shipped
271,271,6/1/2024,UPS,TRK151164,6/7/2024,Delivered
272,272,1/23/2024,DHL,TRK725760,1/27/2024,Delivered
273,273,9/9/2024,FedEx,TRK337645,9/15/2024,Shipped
274,274,10/9/2024,UPS,TRK961231,10/12/2024,Delivered
275,275,1/19/2024,DHL,TRK454702,1/24/2024,Delivered
276,276,1/20/2024,FedEx,TRK742723,1/25/2024,Delivered
277,277,12/8/2023,UPS,TRK009431,12/10/2023,Delivered
278,278,6/21/2024,DHL,TRK659930,6/29/2024,Shipped
279,279,4/3/2024,FedEx,TRK165593,4/8/2024,Cancelled
280,280,9/25/2024,UPS,TRK766771,10/1/2024,Delivered
281,281,12/27/2023,DHL,TRK216708,12/30/2023,Shipped
282,282,4/8/2024,FedEx,TRK747963,4/10/2024,Shipped
283,283,11/13/2023,UPS,TRK083560,11/17/2023,Delivered
284,284,7/18/2024,DHL,TRK262287,7/21/2024,Delivered
285,285,5/31/2024,FedEx,TRK050171,6/8/2024,Shipped
286,286,5/24/2024,UPS,TRK693744,5/28/2024,Shipped
287,287,6/11/2024,DHL,TRK396776,6/13/2024,Pending
288,288,3/5/2024,FedEx,TRK673295,3/8/2024,Pending
289,289,8/16/2024,UPS,TRK329862,8/21/2024,Delivered
290,290,5/9/2024,DHL,TRK284736,5/14/2024,Delivered
291,291,2/4/2024,FedEx,TRK444141,2/6/2024,Delivered
292,292,6/24/2024,UPS,TRK109673,6/28/2024,Pending
293,293,4/16/2024,DHL,TRK361409,4/17/2024,Cancelled
294,294,8/26/2024,FedEx,TRK839025,8/29/2024,Pending
295,295,10/5/2024,UPS,TRK932379,10/13/2024,Cancelled
296,296,6/9/2024,DHL,TRK184044,6/13/2024,Shipped
297,297,11/25/2023,FedEx,TRK484527,11/26/2023,Pending
298,298,11/3/2024,UPS,TRK041950,11/11/2024,Delivered
299,299,10/25/2024,DHL,TRK273290,11/2/2024,Delivered
300,300,3/28/2024,FedEx,TRK533759,4/2/2024,Pending
301,301,8/30/2024,UPS,TRK611240,9/6/2024,Delivered
302,302,2/14/2024,DHL,TRK034046,2/20/2024,Delivered
303,303,6/21/2024,FedEx,TRK983766,6/25/2024,Shipped
304,304,12/26/2023,UPS,TRK618442,1/2/2024,Delivered
305,305,4/11/2024,DHL,TRK438086,4/17/2024,Delivered
306,306,1/28/2024,FedEx,TRK240590,1/31/2024,Pending
307,307,9/13/2024,UPS,TRK864558,9/15/2024,Delivered
308,308,4/26/2024,DHL,TRK001041,5/2/2024,Cancelled
309,309,3/20/2024,FedEx,TRK640405,3/24/2024,Delivered
310,310,8/2/2024,UPS,TRK902383,8/7/2024,Shipped
311,311,2/20/2024,DHL,TRK322376,2/27/2024,Shipped
312,312,11/25/2023,FedEx,TRK145267,12/2/2023,Delivered
313,313,1/19/2024,UPS,TRK188241,1/24/2024,Shipped
314,314,1/1/2024,DHL,TRK535982,1/2/2024,Pending
315,315,9/25/2024,FedEx,TRK111101,9/30/2024,Delivered
316,316,2/10/2024,UPS,TRK811055,2/17/2024,Shipped
317,317,12/21/2023,DHL,TRK812878,12/24/2023,Pending
318,318,5/4/2024,FedEx,TRK144233,5/8/2024,Delivered
319,319,5/27/2024,UPS,TRK869898,5/31/2024,Delivered
320,320,9/21/2024,DHL,TRK600618,9/29/2024,Delivered
321,321,6/28/2024,FedEx,TRK177368,6/29/2024,Shipped
322,322,11/12/2023,UPS,TRK080452,11/17/2023,Pending
323,323,4/17/2024,DHL,TRK517821,4/19/2024,Shipped
324,324,2/8/2024,FedEx,TRK018312,2/14/2024,Delivered
325,325,2/27/2024,UPS,TRK691409,3/2/2024,Delivered
326,326,9/13/2024,DHL,TRK234014,9/14/2024,Shipped
327,327,2/10/2024,FedEx,TRK500776,2/14/2024,Shipped
328,328,12/16/2023,UPS,TRK298029,12/23/2023,Delivered
329,329,6/15/2024,DHL,TRK455071,6/18/2024,Shipped
330,330,3/19/2024,FedEx,TRK565241,3/20/2024,Shipped
331,331,5/15/2024,UPS,TRK083094,5/16/2024,Shipped
332,332,8/8/2024,DHL,TRK847279,8/14/2024,Pending
333,333,1/11/2024,FedEx,TRK820122,1/12/2024,Pending
334,334,3/29/2024,UPS,TRK626160,4/5/2024,Delivered
335,335,1/6/2024,DHL,TRK692917,1/13/2024,Shipped
336,336,8/9/2024,FedEx,TRK284872,8/15/2024,Delivered
337,337,4/27/2024,UPS,TRK146916,4/30/2024,Shipped
338,338,6/9/2024,DHL,TRK405947,6/17/2024,Delivered
339,339,2/6/2024,FedEx,TRK378018,2/10/2024,Shipped
340,340,2/3/2024,UPS,TRK744530,2/9/2024,Shipped
341,341,8/3/2024,DHL,TRK900801,8/8/2024,Shipped
342,342,2/19/2024,FedEx,TRK616841,2/24/2024,Pending
343,343,4/20/2024,UPS,TRK951128,4/23/2024,Delivered
344,344,5/31/2024,DHL,TRK513880,6/5/2024,Delivered
345,345,2/3/2024,FedEx,TRK095420,2/8/2024,Shipped
346,346,10/25/2024,UPS,TRK964826,10/31/2024,Delivered
347,347,10/11/2024,DHL,TRK934226,10/14/2024,Shipped
348,348,2/24/2024,FedEx,TRK818166,2/25/2024,Shipped
349,349,8/19/2024,UPS,TRK485810,8/25/2024,Shipped
350,350,11/17/2023,DHL,TRK993833,11/23/2023,Shipped
351,351,12/22/2023,FedEx,TRK680472,12/28/2023,Pending
352,352,9/1/2024,UPS,TRK551722,9/8/2024,Pending
353,353,8/6/2024,DHL,TRK296346,8/9/2024,Pending
354,354,6/3/2024,FedEx,TRK999761,6/10/2024,Delivered
355,355,8/4/2024,UPS,TRK451832,8/11/2024,Shipped
356,356,5/10/2024,DHL,TRK214430,5/11/2024,Delivered
357,357,12/17/2023,FedEx,TRK789699,12/20/2023,Delivered
358,358,5/25/2024,UPS,TRK480191,5/27/2024,Shipped
359,359,4/19/2024,DHL,TRK369578,4/27/2024,Pending
360,360,2/20/2024,FedEx,TRK035018,2/27/2024,Delivered
361,361,10/26/2024,UPS,TRK066115,11/1/2024,Delivered
362,362,5/4/2024,DHL,TRK535727,5/7/2024,Pending
363,363,1/16/2024,FedEx,TRK780825,1/22/2024,Shipped
364,364,6/3/2024,UPS,TRK955755,6/6/2024,Delivered
365,365,10/5/2024,DHL,TRK386156,10/12/2024,Delivered
366,366,1/20/2024,FedEx,TRK323270,1/25/2024,Cancelled
367,367,4/18/2024,UPS,TRK955771,4/22/2024,Delivered
368,368,5/13/2024,DHL,TRK184151,5/20/2024,Pending
369,369,4/18/2024,FedEx,TRK280390,4/19/2024,Shipped
370,370,5/22/2024,UPS,TRK993058,5/29/2024,Shipped
371,371,4/8/2024,DHL,TRK576455,4/10/2024,Pending
372,372,12/16/2023,FedEx,TRK244697,12/24/2023,Pending
373,373,6/14/2024,UPS,TRK477320,6/21/2024,Pending
374,374,4/26/2024,DHL,TRK537732,4/28/2024,Shipped
375,375,11/4/2024,FedEx,TRK406136,11/8/2024,Delivered
376,376,1/27/2024,UPS,TRK883729,1/31/2024,Shipped
377,377,4/17/2024,DHL,TRK944081,4/20/2024,Shipped
378,378,1/1/2024,FedEx,TRK048693,1/6/2024,Pending
379,379,10/12/2024,UPS,TRK545706,10/19/2024,Shipped
380,380,9/28/2024,DHL,TRK348239,10/2/2024,Delivered
381,381,12/11/2023,FedEx,TRK999529,12/13/2023,Shipped
382,382,4/27/2024,UPS,TRK502526,4/29/2024,Shipped
383,383,8/31/2024,DHL,TRK995106,9/3/2024,Pending
384,384,12/26/2023,FedEx,TRK585814,12/29/2023,Shipped
385,385,7/27/2024,UPS,TRK495246,7/30/2024,Shipped
386,386,1/30/2024,DHL,TRK403171,2/4/2024,Delivered
387,387,6/22/2024,FedEx,TRK091888,6/29/2024,Pending
388,388,1/25/2024,UPS,TRK614430,1/30/2024,Delivered
389,389,10/12/2024,DHL,TRK667677,10/16/2024,Delivered
390,390,2/19/2024,FedEx,TRK900704,2/23/2024,Delivered
391,391,6/30/2024,UPS,TRK254989,7/4/2024,Shipped
392,392,2/21/2024,DHL,TRK916014,2/26/2024,Pending
393,393,3/14/2024,FedEx,TRK713606,3/18/2024,Pending
394,394,1/27/2024,UPS,TRK527199,2/3/2024,Delivered
395,395,10/7/2024,DHL,TRK910872,10/12/2024,Delivered
396,396,11/2/2024,FedEx,TRK291084,11/5/2024,Shipped
397,397,2/16/2024,UPS,TRK690238,2/19/2024,Shipped
398,398,8/29/2024,DHL,TRK523724,8/30/2024,Delivered
399,399,8/22/2024,FedEx,TRK485851,8/23/2024,Pending
400,400,6/14/2024,UPS,TRK812509,6/18/2024,Delivered
401,401,8/17/2024,DHL,TRK584033,8/21/2024,Delivered
402,402,1/14/2024,FedEx,TRK534476,1/16/2024,Pending
403,403,10/27/2024,UPS,TRK073745,10/28/2024,Shipped
404,404,3/20/2024,DHL,TRK379041,3/23/2024,Delivered
405,405,2/16/2024,FedEx,TRK019686,2/22/2024,Pending
406,406,6/9/2024,UPS,TRK768714,6/14/2024,Pending
407,407,4/27/2024,DHL,TRK670474,5/1/2024,Pending
408,408,12/28/2023,FedEx,TRK225050,12/31/2023,Delivered
409,409,6/20/2024,UPS,TRK461550,6/22/2024,Shipped
410,410,10/15/2024,DHL,TRK671768,10/22/2024,Shipped
411,411,2/20/2024,FedEx,TRK662236,2/21/2024,Delivered
412,412,10/10/2024,UPS,TRK798441,10/18/2024,Delivered
413,413,8/5/2024,DHL,TRK675081,8/7/2024,Shipped
414,414,7/9/2024,FedEx,TRK943611,7/15/2024,Shipped
415,415,7/20/2024,UPS,TRK929734,7/27/2024,Pending
416,416,5/21/2024,DHL,TRK600365,5/25/2024,Shipped
417,417,4/4/2024,FedEx,TRK622031,4/9/2024,Shipped
418,418,1/27/2024,UPS,TRK678843,2/1/2024,Cancelled
419,419,1/6/2024,DHL,TRK269342,1/9/2024,Pending
420,420,9/25/2024,FedEx,TRK351957,9/29/2024,Shipped
